Date,Time,DateTime,N/U,Count,y,bad1,bad2,bad3,bad4
11/1/2018,07:47:39,11/1/2018 07:47:39,460,692,554,,,,
11/1/2018,07:47:39,11/1/2018 07:47:39,460,692,554,,,,
11/1/2018,07:47:40,11/1/2018 07:47:40,460,683,554,,,,
11/1/2018,07:47:41,11/1/2018 07:47:41,460,696,554,,,,
11/1/2018,07:47:41,11/1/2018 07:47:41,460,690,554,,,,
11/1/2018,07:57:42,11/1/2018 07:57:42,460,683,556,,,,
11/1/2018,07:57:42,11/1/2018 07:57:42,460,692,555,,,,
11/1/2018,07:57:43,11/1/2018 07:57:43,460,690,555,,,,
11/1/2018,07:57:43,11/1/2018 07:57:43,460,694,555,,,,
11/1/2018,07:57:44,11/1/2018 07:57:44,460,689,555,,,,
11/1/2018,07:57:44,11/1/2018 07:57:44,460,692,555,,,,
11/1/2018,07:57:45,11/1/2018 07:57:45,460,693,555,,,,
11/1/2018,07:57:45,11/1/2018 07:57:45,460,691,554,,,,
11/1/2018,07:57:46,11/1/2018 07:57:46,460,693,554,,,,
11/1/2018,07:57:46,11/1/2018 07:57:46,460,689,554,,,,
11/1/2018,07:57:47,11/1/2018 07:57:47,460,693,554,,,,
11/1/2018,07:57:47,11/1/2018 07:57:47,460,690,554,,,,
11/1/2018,07:57:48,11/1/2018 07:57:48,460,690,554,,,,
11/1/2018,07:57:49,11/1/2018 07:57:49,460,691,554,,,,
11/1/2018,07:57:49,11/1/2018 07:57:49,460,695,554,,,,
11/1/2018,08:07:50,11/1/2018 08:07:50,460,693,555,,,,
11/1/2018,08:07:50,11/1/2018 08:07:50,460,692,555,,,,
11/1/2018,08:07:51,11/1/2018 08:07:51,460,686,555,,,,
11/1/2018,08:07:51,11/1/2018 08:07:51,460,689,555,,,,
11/1/2018,08:07:52,11/1/2018 08:07:52,460,690,555,,,,
11/1/2018,08:07:52,11/1/2018 08:07:52,460,691,555,,,,
11/1/2018,08:07:53,11/1/2018 08:07:53,460,689,554,,,,
11/1/2018,08:07:53,11/1/2018 08:07:53,460,685,554,,,,
